OEM_Part_ID,Part_Name,Category,Manufacturer,Sensor_Temperature,Sensor_Vibration,Sensor_Pressure,Supplier_Reliability_Score,Lead_Time_Days
VW001,Turbocharger,Fuel System,Bosch,100.68572445844588,0.3308109897104072,54.551232050021234,0.88,11
VW002,Airbag Module,Braking System,Garrett Motion,89.27823000691419,1.6012368007704723,78.68905859252797,0.98,11
VW003,Brake Pads,Safety System,Exide,108.7302610217975,0.7186321435161048,64.43386713070015,0.96,15
VW004,Alternator,Engine,Behr Hella,82.79012216424374,0.8473842763731413,45.035695065072645,0.93,21
VW005,Battery,Engine,Continental AG,82.84758234624256,1.8819613339848058,75.14319421671397,0.91,17
VW006,Transmission Assembly,Fuel System,Valeo,91.71887392547369,1.9747441524732747,31.684001447638295,0.91,24
VW007,Engine Control Module,Suspension,Continental AG,76.8738998550083,0.3083810037662558,75.76152476204409,0.85,23
VW008,Turbocharger,Electrical System,Exide,99.2302250961379,0.868386151086931,71.58223977554016,0.96,14
VW009,Suspension System,Engine,Valeo,101.72533251093954,2.0575411674845223,59.87957004118482,0.9,20
VW010,Transmission Assembly,Engine,Autoliv,78.6743202261657,2.186768190303877,45.28989261881424,0.85,15
VW011,Brake Pads,Suspension,Brembo,84.58551821869125,1.1087280167266351,44.185234153285286,0.85,28
VW012,Fuel Injector,Engine,Autoliv,76.43021454976517,1.3668772520522463,39.781690287733156,0.9,28
VW013,Engine Control Module,Transmission,ZF Friedrichshafen,96.114433056768,1.1563520466319626,75.52884423946216,0.93,9
VW014,Alternator,Cooling System,ZF Friedrichshafen,103.97581203623821,1.6247764125678783,50.53905014197666,0.96,18
VW015,Brake Pads,Suspension,Behr Hella,104.08758434555182,2.1386259944788066,30.85866624790296,0.92,27
VW016,Battery,Engine,Garrett Motion,74.71469198999135,1.757575677478481,68.41162945932658,0.92,23
VW017,Suspension System,Suspension,Brembo,100.53057851965173,0.4084425966180242,72.71555724756553,0.89,18
VW018,Engine Control Module,Engine,Exide,104.02510850511719,0.606355255646644,63.74300384604521,0.95,12
VW019,Brake Pads,Electrical System,Bosch,95.56690688362309,1.0894738365232715,58.30206248409223,0.98,28
VW020,Brake Pads,Transmission,Bosch,94.9186224103113,1.022419941822709,53.619751734851924,0.92,29
VW021,Turbocharger,Electrical System,Valeo,95.63046652932199,1.3636050666630697,30.608623875040475,0.87,21
VW022,Transmission Assembly,Engine,Valeo,83.5084426403621,0.27488175916992647,39.85073948632993,0.95,29
VW023,Engine Control Module,Transmission,Bosch,72.7301031207077,2.348723949487286,60.48296700479314,0.96,9
VW024,Suspension System,Safety System,ZF Friedrichshafen,83.87909343975915,0.1285812295874078,32.99020965758177,0.94,19
VW025,Suspension System,Fuel System,Exide,108.5043435578936,2.2362651502766115,34.503873142082064,0.96,14
VW026,Battery,Fuel System,Valeo,79.38734533492956,1.9575777647938528,46.678768469870406,0.88,8
VW027,Radiator,Suspension,Exide,105.45420230323086,0.2241353342990017,67.65983262384196,0.91,10
VW028,Transmission Assembly,Transmission,ZF Friedrichshafen,73.90529429862544,1.7592937277481537,74.51391459914745,0.95,25
VW029,Radiator,Cooling System,Valeo,102.7116554746608,2.0442218512282273,53.44224735817829,0.88,20
VW030,Battery,Fuel System,Behr Hella,89.15854398549627,1.5910920270729432,56.00923420076374,0.9,10
VW031,Airbag Module,Fuel System,Continental AG,97.62076444736931,2.1872995997983136,69.90902673139874,0.97,9
VW032,Battery,Cooling System,Garrett Motion,75.15774165393411,0.14619479133086904,39.16436499627484,0.88,20
VW033,Airbag Module,Transmission,Continental AG,86.53992201734118,0.5781744337810429,39.540932935419725,0.97,18
VW034,Brake Pads,Braking System,Autoliv,108.14912446327983,0.36495126649713794,67.12860333252468,0.9,24
VW035,Battery,Electrical System,Brembo,92.80822647471318,2.3382215860567483,79.9082595039796,0.86,18
VW036,Transmission Assembly,Electrical System,Behr Hella,88.11714702352995,1.6786776669719063,70.83618306793983,0.89,25
VW037,Turbocharger,Suspension,Garrett Motion,71.85457504165446,1.7902840952406867,45.605779651220104,0.95,29
VW038,Alternator,Suspension,Continental AG,92.10414430425054,0.888993145448767,75.9812485986329,0.94,23
VW039,Brake Pads,Suspension,Continental AG,106.47307677691975,1.3272995319938758,34.52268862345476,0.87,21
VW040,Radiator,Braking System,Bosch,101.20023809520254,2.121331007606461,39.93513001774198,0.98,18
VW041,Battery,Cooling System,Brembo,92.24268511740121,1.9666092729253613,64.19509386172334,0.91,23
VW042,Transmission Assembly,Electrical System,Bosch,100.75224300729536,2.1886911185967124,65.41495028860265,0.88,8
VW043,Engine Control Module,Cooling System,Valeo,107.6015476223599,0.9415429417277332,71.5085534469876,0.87,22
VW044,Battery,Braking System,Exide,87.11335061800162,0.6385446685021792,40.86079069779514,0.88,9
VW045,Battery,Electrical System,ZF Friedrichshafen,95.94413020335467,0.3194887128654484,35.558530061731574,0.96,10
VW046,Fuel Injector,Engine,Valeo,87.21379885392703,1.8219440164448912,36.43139248292472,0.89,12
VW047,Turbocharger,Fuel System,Garrett Motion,95.69836697676836,1.490236968798123,36.761432308672255,0.87,13
VW048,Alternator,Engine,Garrett Motion,98.19320943165587,0.2509503081122406,53.774554412542436,0.93,17
VW049,Airbag Module,Cooling System,Bosch,89.51251426476333,2.3888425734504817,59.97874201960185,0.92,8
VW050,Engine Control Module,Suspension,Behr Hella,90.89098199896291,0.11658398562643467,66.40678938605916,0.97,10
VW051,Transmission Assembly,Safety System,Bosch,93.44183465955702,0.11227823682150505,60.58167112316613,0.94,20
VW052,Battery,Transmission,Continental AG,96.67138900333359,1.311078221417839,62.93581120025329,0.96,24
VW053,Brake Pads,Transmission,Bosch,97.49372121606655,1.6596853038460715,76.75254424195322,0.88,25
VW054,Turbocharger,Engine,Bosch,102.78109748438789,1.5185881644300456,46.19654605363299,0.96,8
VW055,Suspension System,Safety System,Brembo,77.27822275006592,0.40340395339459056,79.49665219788719,0.91,23
VW056,Engine Control Module,Braking System,Autoliv,70.98024162314402,0.5724117350590775,50.33478400371127,0.97,22
VW057,Engine Control Module,Braking System,Bosch,84.7361609309869,2.1696251798300246,36.62695728900196,0.85,11
VW058,Suspension System,Electrical System,Garrett Motion,109.04498862039827,2.3880841994917983,37.79521015055673,0.94,25
VW059,Alternator,Suspension,Bosch,85.93686329941235,2.2598571365467754,67.22049544799366,0.89,7
VW060,Engine Control Module,Fuel System,Brembo,101.43404633260201,2.057076673092153,76.88450742848985,0.96,22
VW061,Transmission Assembly,Fuel System,Exide,72.27226500587865,0.38916088902866286,73.87248897710784,0.96,14
VW062,Alternator,Cooling System,Garrett Motion,99.55675613874706,1.3067240690244706,71.00142543170651,0.93,17
VW063,Airbag Module,Fuel System,Bosch,90.92471231654633,0.1275885197049642,40.949382466080166,0.93,7
VW064,Fuel Injector,Fuel System,Brembo,76.31298396349641,0.10849633520518705,56.34848554365793,0.96,28
VW065,Battery,Cooling System,Behr Hella,106.10584077506545,2.482270246541089,73.22422289668542,0.86,21
VW066,Fuel Injector,Safety System,Garrett Motion,101.64090750902966,1.582253811896438,68.24244430003327,0.94,10
VW067,Brake Pads,Safety System,ZF Friedrichshafen,77.17955605447783,1.3262765006736117,42.380283331162914,0.98,24
VW068,Airbag Module,Braking System,Valeo,85.73345127869409,0.20168817732280903,57.069184701053615,0.96,11
VW069,Fuel Injector,Electrical System,Behr Hella,102.06310359612903,1.166888409717368,31.689984453522523,0.91,8
VW070,Battery,Electrical System,Bosch,93.28821920568413,0.29398639371173535,64.83615335007772,0.92,9
VW071,Brake Pads,Transmission,Valeo,100.5769620097497,0.4276466537481929,64.85191367391259,0.93,28
VW072,Turbocharger,Fuel System,Continental AG,89.44687297076823,1.4022421307304946,73.78840030764701,0.9,23
VW073,Airbag Module,Engine,Garrett Motion,91.9057139753734,0.31165365126421973,71.11878735461767,0.9,23
VW074,Transmission Assembly,Braking System,Exide,88.70443964148195,1.4062989345801091,53.52987464656347,0.95,26
VW075,Fuel Injector,Engine,Autoliv,83.9639404451606,2.250143310649593,65.06110106825017,0.92,27
VW076,Transmission Assembly,Braking System,Exide,107.23088578713993,2.2523932372605233,54.30270393104769,0.97,18
VW077,Alternator,Safety System,Exide,97.22725499787198,1.532255246613593,44.45843437253295,0.98,10
VW078,Battery,Cooling System,Behr Hella,96.63099806820483,0.44555773205894034,69.02618271440863,0.97,22
VW079,Transmission Assembly,Fuel System,Garrett Motion,74.8574969812716,0.9706601082992949,40.27715384111046,0.94,18
VW080,Brake Pads,Electrical System,ZF Friedrichshafen,81.76376919945139,2.0968672870227802,60.17865077564434,0.94,22
VW081,Turbocharger,Suspension,Exide,89.46973492078655,1.7402992673759377,55.85402302706152,0.96,23
VW082,Transmission Assembly,Engine,Autoliv,82.62950927297712,2.32911607115784,40.36469717092579,0.94,13
VW083,Radiator,Cooling System,Behr Hella,106.21934909363887,0.6573725705453743,74.85359597826898,0.94,27
VW084,Fuel Injector,Engine,Bosch,73.40226378065891,1.7802090714833474,47.08108102399116,0.92,19
VW085,Turbocharger,Electrical System,Bosch,80.21248159379033,0.5656619903012731,67.07919359672931,0.95,13
VW086,Suspension System,Electrical System,ZF Friedrichshafen,79.31056840312368,2.171565199506389,31.803422057873554,0.86,26
